,time,summary,sunriseTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureHigh.1,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLowTime,apparentTemperatureLow,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMaxTime,temperatureMax,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2013-01-01 01:00,Foggy throughout the day.,2013-01-01 08:00,0.64,0.0,0.0,,0.0,,-2.71,2013-01-01 14:00,-2.71,-2.71,2013-01-01 20:00,-4.78,2013-01-01 20:00,2013-01-01 21:00,-5.65,-3.53,0.96,1020.11,2.13,4.47,107,0.98,1,1.588,,-3.84,2013-01-01 10:00,2013-01-01 02:00,-2.13,-7.28,2013-01-01 10:00,-2.66,2013-01-02 00:00
1,2013-01-02 01:00,Foggy in the morning and afternoon.,2013-01-02 08:00,0.67,0.0,0.0,,0.0,,0.15,2013-01-02 16:00,-5.74,0.15,2013-01-03 09:00,0.15,2013-01-02 16:00,2013-01-03 09:00,-5.74,-1.62,0.97,1024.03,1.4,4.02,296,0.83,1,3.039,,-2.67,2013-01-02 01:00,2013-01-03 00:00,0.74,-3.98,2013-01-02 05:00,0.15,2013-01-02 16:00
2,2013-01-03 01:00,Partly cloudy throughout the day.,2013-01-03 08:00,0.7,0.0,0.0,,0.0,,4.88,2013-01-03 16:00,3.38,4.88,2013-01-03 20:00,2.63,2013-01-03 16:00,2013-01-03 20:00,0.73,-1.12,0.87,1031.67,2.16,7.6,245,0.5,1,8.457,,-5.74,2013-01-03 09:00,2013-01-03 16:00,4.88,-5.74,2013-01-03 09:00,2.63,2013-01-03 16:00
3,2013-01-04 01:00,Foggy overnight.,2013-01-04 08:00,0.74,0.0,0.0,,0.0,,9.56,2013-01-04 14:00,5.91,9.56,2013-01-05 02:00,6.95,2013-01-04 14:00,2013-01-05 09:00,3.72,3.13,0.77,1024.69,4.7,16.98,287,0.81,1,10.0,,4.9,2013-01-04 01:00,2013-01-04 14:00,9.56,1.48,2013-01-04 01:00,6.95,2013-01-04 14:00
4,2013-01-05 01:00,Mostly cloudy throughout the day.,2013-01-05 08:00,0.77,0.0,0.0,,0.0,,9.86,2013-01-05 13:00,1.52,9.86,2013-01-06 08:00,6.89,2013-01-05 13:00,2013-01-06 08:00,-2.05,2.32,0.74,1017.88,5.25,10.28,317,0.45,1,9.287,,2.61,2013-01-05 23:00,2013-01-05 13:00,9.86,-1.09,2013-01-06 00:00,6.89,2013-01-05 13:00
5,2013-01-06 01:00,Foggy in the afternoon and evening.,2013-01-06 08:00,0.81,0.0,0.0,,0.0,,2.85,2013-01-06 15:00,-0.5,2.85,2013-01-07 09:00,0.83,2013-01-06 14:00,2013-01-07 08:00,-2.8,-2.93,0.73,1020.21,2.86,10.63,315,0.91,1,7.797,,0.18,2013-01-06 18:00,2013-01-06 15:00,2.85,-2.72,2013-01-06 18:00,0.83,2013-01-06 14:00
6,2013-01-07 01:00,Mostly cloudy throughout the day.,2013-01-07 08:00,0.85,0.0,0.0,,0.0,,2.06,2013-01-07 13:00,-8.11,2.06,2013-01-08 09:00,2.06,2013-01-07 13:00,2013-01-08 09:00,-8.11,-3.99,0.76,1024.4,1.9,5.37,37,0.72,1,10.002,,-3.44,2013-01-08 00:00,2013-01-07 13:00,2.06,-6.62,2013-01-07 23:00,2.06,2013-01-07 13:00
7,2013-01-08 01:00,"Foggy until morning, starting again in the evening.",2013-01-08 08:00,0.88,0.0028,0.0494,2013-01-08 22:00,0.11,snow,-1.57,2013-01-08 14:00,-3.05,-1.57,2013-01-08 21:00,-2.25,2013-01-08 12:00,2013-01-08 20:00,-6.08,-7.09,0.81,1028.34,1.4,4.91,166,0.63,1,7.863,,-8.11,2013-01-08 09:00,2013-01-08 14:00,-1.57,-8.11,2013-01-08 09:00,-2.25,2013-01-08 12:00
8,2013-01-09 01:00,Foggy throughout the day.,2013-01-09 08:00,0.92,0.0041,0.0472,2013-01-09 03:00,0.11,snow,-1.03,2013-01-09 15:00,-4.52,-1.03,2013-01-10 04:00,-1.31,2013-01-09 08:00,2013-01-10 03:00,-9.62,-2.97,0.95,1022.96,1.96,4.02,114,1.0,1,2.479,,-3.97,2013-01-10 00:00,2013-01-09 15:00,-1.03,-7.69,2013-01-10 00:00,-1.31,2013-01-09 08:00
9,2013-01-10 01:00,Foggy throughout the day.,2013-01-10 08:00,0.96,0.0029,0.0348,2013-01-10 10:00,0.11,snow,-0.8,2013-01-10 20:00,-1.25,-0.8,2013-01-11 05:00,-0.8,2013-01-10 20:00,2013-01-11 05:00,-1.25,-3.03,0.97,1013.69,1.48,4.47,137,0.99,1,0.652,,-4.52,2013-01-10 04:00,2013-01-11 00:00,-0.55,-9.62,2013-01-10 03:00,-0.55,2013-01-11 00:00
