,time,summary,sunriseTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureHigh.1,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLowTime,apparentTemperatureLow,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMaxTime,temperatureMax,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2001-01-01 01:00,Partly cloudy throughout the day.,2001-01-01 08:00,0.22,,,,,snow,3.07,2001-01-01 15:00,-4.25,3.07,2001-01-02 06:00,2.96,2001-01-01 16:00,2001-01-02 06:00,-9.09,-4.31,0.82,1019.83,1.65,,257,0.06,1,,,-5.49,2001-01-01 09:00,2001-01-01 15:00,3.07,-7.55,2001-01-01 23:00,2.96,2001-01-01 16:00
1,2001-01-02 01:00,Mostly cloudy throughout the day.,2001-01-02 08:00,0.25,,,,,snow,1.58,2001-01-02 20:00,0.13,1.58,2001-01-03 03:00,0.9,2001-01-02 19:00,2001-01-03 01:00,-1.71,-2.24,0.92,1015.47,2.96,,99,0.75,1,,,-4.25,2001-01-02 06:00,2001-01-02 21:00,1.64,-9.09,2001-01-02 06:00,1.01,2001-01-02 22:00
2,2001-01-03 01:00,Overcast throughout the day.,2001-01-03 08:00,0.28,,,,,rain,2.85,2001-01-03 18:00,-2.65,2.85,2001-01-04 09:00,2.85,2001-01-03 18:00,2001-01-04 03:00,-3.02,0.6,0.94,1012.72,1.14,,15,0.9,1,,,0.13,2001-01-03 03:00,2001-01-03 18:00,2.85,-1.94,2001-01-03 22:00,2.85,2001-01-03 18:00
3,2001-01-04 01:00,Mostly cloudy throughout the day.,2001-01-04 08:00,0.31,,,,,snow,1.43,2001-01-04 16:00,0.64,1.43,2001-01-04 20:00,-1.23,2001-01-04 15:00,2001-01-04 20:00,-4.15,-1.07,0.95,1015.48,2.26,,106,0.62,1,,,-2.65,2001-01-04 09:00,2001-01-04 16:00,1.43,-4.45,2001-01-04 19:00,-0.94,2001-01-04 04:00
4,2001-01-05 01:00,Overcast throughout the day.,2001-01-05 08:00,0.35,,,,,rain,2.53,2001-01-05 20:00,2.53,2.53,2001-01-05 20:00,1.43,2001-01-05 12:00,2001-01-05 21:00,-0.55,0.67,0.95,1014.13,1.76,,109,1.0,1,,,0.64,2001-01-05 03:00,2001-01-05 22:00,2.96,-1.99,2001-01-05 02:00,1.43,2001-01-05 12:00
5,2001-01-06 01:00,Mostly cloudy throughout the day.,2001-01-06 08:00,0.38,,,,,,10.8,2001-01-06 15:00,3.98,10.8,2001-01-07 05:00,10.8,2001-01-06 15:00,2001-01-07 04:00,2.23,4.9,0.9,1009.46,1.71,,167,0.84,1,,,3.85,2001-01-06 03:00,2001-01-06 15:00,10.8,1.09,2001-01-06 07:00,10.8,2001-01-06 15:00
6,2001-01-07 01:00,Mostly cloudy throughout the day.,2001-01-07 08:00,0.42,,,,,rain,9.64,2001-01-07 16:00,6.39,9.64,2001-01-08 09:00,9.64,2001-01-07 16:00,2001-01-08 00:00,5.73,5.28,0.92,1013.69,1.44,,69,0.87,1,,,3.98,2001-01-07 05:00,2001-01-07 16:00,9.64,2.23,2001-01-07 04:00,9.64,2001-01-07 16:00
7,2001-01-08 01:00,Overcast throughout the day.,2001-01-08 08:00,0.46,,,,,rain,8.18,2001-01-08 16:00,3.38,8.18,2001-01-09 06:00,8.18,2001-01-08 16:00,2001-01-09 06:00,0.4,6.6,0.96,1010.21,1.75,,31,0.91,1,,,5.8,2001-01-08 20:00,2001-01-08 02:00,8.54,3.06,2001-01-08 22:00,8.18,2001-01-08 16:00
8,2001-01-09 01:00,Overcast throughout the day.,2001-01-09 08:00,0.5,,,,,rain,4.85,2001-01-09 18:00,-2.13,4.85,2001-01-10 08:00,1.53,2001-01-09 09:00,2001-01-10 08:00,-5.0,2.35,0.89,1009.06,5.2,,315,0.84,1,,,2.6,2001-01-10 00:00,2001-01-09 01:00,5.39,-2.26,2001-01-10 00:00,3.36,2001-01-09 01:00
9,2001-01-10 01:00,Mostly cloudy throughout the day.,2001-01-10 08:00,0.54,,,,,,3.92,2001-01-10 16:00,-0.78,3.92,2001-01-10 23:00,2.02,2001-01-10 18:00,2001-01-11 04:00,-2.94,-0.79,0.9,1019.77,1.82,,105,0.51,1,,,-2.13,2001-01-10 08:00,2001-01-10 16:00,3.92,-5.0,2001-01-10 08:00,2.02,2001-01-10 18:00
