,time,summary,sunriseTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureHigh.1,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLowTime,apparentTemperatureLow,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMaxTime,temperatureMax,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2010-01-01 01:00,"Foggy until morning, starting again in the evening.",2010-01-01 08:00,0.54,0.0212,0.1454,2010-01-01 06:00,0.14,rain,7.21,2010-01-01 16:00,1.59,7.21,2010-01-02 09:00,5.86,2010-01-01 16:00,2010-01-02 09:00,-1.36,4.03,0.96,991.98,1.86,5.74,349,0.86,1,6.282,,2.89,2010-01-01 23:00,2010-01-01 16:00,7.21,1.76,2010-01-01 08:00,5.86,2010-01-01 16:00
1,2010-01-02 01:00,"Foggy until morning, starting again in the evening.",2010-01-02 08:00,0.58,0.0,0.0,,0.0,,4.04,2010-01-02 13:00,-1.99,4.04,2010-01-03 06:00,0.36,2010-01-02 08:00,2010-01-03 08:00,-8.49,-0.32,0.86,1003.02,5.09,11.17,316,0.85,1,4.672,,-1.44,2010-01-03 00:00,2010-01-02 13:00,4.04,-7.78,2010-01-03 00:00,3.04,2010-01-02 03:00
2,2010-01-03 01:00,Foggy in the morning.,2010-01-03 08:00,0.62,0.0,0.0,,0.0,,-0.52,2010-01-03 14:00,-10.03,-0.52,2010-01-04 05:00,-6.31,2010-01-03 16:00,2010-01-04 08:00,-13.5,-6.07,0.74,1016.47,6.04,7.81,314,0.72,1,5.363,,-5.45,2010-01-04 00:00,2010-01-03 14:00,-0.52,-9.47,2010-01-04 00:00,-6.31,2010-01-03 16:00
3,2010-01-04 01:00,Partly cloudy throughout the day.,2010-01-04 08:00,0.66,0.0,0.0,,0.0,,-2.2,2010-01-04 14:00,-6.14,-2.2,2010-01-04 20:00,-5.47,2010-01-04 13:00,2010-01-04 20:00,-11.03,-10.05,0.76,1020.6,2.26,4.47,92,0.3,1,7.87,,-10.03,2010-01-04 05:00,2010-01-04 14:00,-2.2,-13.5,2010-01-04 08:00,-5.47,2010-01-04 13:00
4,2010-01-05 01:00,Foggy in the morning and overnight.,2010-01-05 08:00,0.69,0.0,0.0,,0.0,,-2.9,2010-01-05 20:00,-2.9,-2.9,2010-01-05 20:00,-7.37,2010-01-05 20:00,2010-01-06 05:00,-7.47,-6.57,0.82,1013.38,3.25,6.0,74,0.98,1,5.766,,-5.72,2010-01-05 01:00,2010-01-06 00:00,-2.64,-10.44,2010-01-05 02:00,-6.97,2010-01-05 23:00
5,2010-01-06 01:00,Foggy in the morning.,2010-01-06 08:00,0.73,0.0,0.0,,0.0,,0.38,2010-01-06 16:00,-1.02,0.38,2010-01-07 09:00,0.24,2010-01-06 14:00,2010-01-06 21:00,-3.49,-2.08,0.92,1002.72,2.34,6.19,54,0.96,1,4.219,,-2.56,2010-01-06 05:00,2010-01-06 16:00,0.38,-7.47,2010-01-06 05:00,0.24,2010-01-06 14:00
6,2010-01-07 01:00,Foggy throughout the day.,2010-01-07 08:00,0.76,0.0,0.0,,0.0,,0.16,2010-01-07 17:00,-4.78,0.16,2010-01-08 01:00,0.05,2010-01-07 16:00,2010-01-08 05:00,-5.91,-2.63,0.9,1012.03,0.93,1.95,248,0.89,1,3.505,,-4.12,2010-01-07 22:00,2010-01-07 17:00,0.16,-4.12,2010-01-07 22:00,0.05,2010-01-07 16:00
7,2010-01-08 01:00,Foggy in the morning.,2010-01-08 08:00,0.8,0.0379,0.2639,2010-01-08 20:00,0.14,rain,3.15,2010-01-08 20:00,3.15,3.15,2010-01-08 20:00,0.18,2010-01-08 18:00,2010-01-08 20:00,-0.5,-0.43,0.94,1013.33,2.65,6.25,69,0.97,1,4.162,,-4.78,2010-01-08 01:00,2010-01-09 00:00,4.56,-5.91,2010-01-08 05:00,1.71,2010-01-09 00:00
8,2010-01-09 01:00,Foggy in the morning and overnight.,2010-01-09 08:00,0.83,0.0298,0.2792,2010-01-09 23:00,0.14,rain,8.21,2010-01-09 19:00,2.78,8.21,2010-01-10 09:00,6.49,2010-01-09 20:00,2010-01-10 08:00,0.9,5.31,0.91,1004.01,2.92,6.25,83,0.89,1,8.429,,4.8,2010-01-09 01:00,2010-01-09 19:00,8.21,1.96,2010-01-09 01:00,6.49,2010-01-09 20:00
9,2010-01-10 01:00,Foggy until evening.,2010-01-10 08:00,0.86,0.0025,0.0483,2010-01-10 10:00,0.14,rain,3.82,2010-01-10 14:00,0.25,3.82,2010-01-11 07:00,3.18,2010-01-10 13:00,2010-01-11 08:00,-3.55,3.06,0.97,1007.46,2.1,4.86,244,0.98,1,2.62,,1.5,2010-01-11 00:00,2010-01-10 01:00,6.93,-1.79,2010-01-11 00:00,5.48,2010-01-10 01:00
