,time,summary,sunriseTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureHigh.1,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLowTime,apparentTemperatureLow,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMaxTime,temperatureMax,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2004-01-01 01:00,Overcast throughout the day.,2004-01-01 08:00,0.32,,,,,rain,3.72,2004-01-01 08:00,-0.06,3.72,2004-01-02 07:00,3.72,2004-01-01 08:00,2004-01-02 06:00,-2.51,1.64,0.93,1012.81,1.73,,309,0.96,1,,,0.92,2004-01-02 00:00,2004-01-01 01:00,4.93,-1.82,2004-01-01 18:00,4.93,2004-01-01 01:00
1,2004-01-02 01:00,Overcast throughout the day.,2004-01-02 08:00,0.35,,,,,,0.92,2004-01-02 16:00,-4.83,0.92,2004-01-03 06:00,-0.01,2004-01-02 12:00,2004-01-03 08:00,-8.57,-1.94,0.89,1011.4,2.19,,328,0.94,1,,,-2.81,2004-01-02 23:00,2004-01-02 16:00,0.92,-8.43,2004-01-02 23:00,0.18,2004-01-02 05:00
2,2004-01-03 01:00,Mostly cloudy throughout the day.,2004-01-03 08:00,0.38,,,,,,-1.83,2004-01-03 14:00,-6.14,-1.83,2004-01-04 09:00,-2.42,2004-01-03 20:00,2004-01-04 07:00,-9.72,-6.69,0.77,1018.66,2.11,,318,0.78,1,,,-4.83,2004-01-03 06:00,2004-01-03 14:00,-1.83,-8.57,2004-01-03 08:00,-2.42,2004-01-03 20:00
3,2004-01-04 01:00,Overcast throughout the day.,2004-01-04 08:00,0.41,,,,,snow,-3.82,2004-01-04 16:00,-8.64,-3.82,2004-01-05 05:00,-6.91,2004-01-04 16:00,2004-01-05 03:00,-10.97,-8.18,0.78,1018.62,2.1,,245,0.91,1,,,-6.16,2004-01-04 10:00,2004-01-04 16:00,-3.82,-9.72,2004-01-04 07:00,-4.95,2004-01-04 21:00
4,2004-01-05 01:00,Mostly cloudy throughout the day.,2004-01-05 08:00,0.44,,,,,snow,-4.8,2004-01-05 14:00,-11.76,-4.8,2004-01-06 09:00,-4.8,2004-01-05 14:00,2004-01-06 06:00,-17.56,-8.17,0.91,1018.27,1.62,,319,0.76,1,,,-8.87,2004-01-06 00:00,2004-01-05 14:00,-4.8,-14.16,2004-01-06 00:00,-4.8,2004-01-05 14:00
5,2004-01-06 01:00,Clear throughout the day.,2004-01-06 08:00,0.48,,,,,snow,-1.59,2004-01-06 16:00,-13.85,-1.59,2004-01-07 00:00,-5.61,2004-01-06 16:00,2004-01-07 06:00,-15.19,-12.48,0.76,1027.82,2.62,,316,0.12,1,,,-13.85,2004-01-07 00:00,2004-01-06 16:00,-1.59,-17.56,2004-01-06 06:00,-5.61,2004-01-06 16:00
6,2004-01-07 01:00,Overcast throughout the day.,2004-01-07 08:00,0.51,,,,,snow,-5.51,2004-01-07 16:00,-6.19,-5.51,2004-01-07 21:00,-5.51,2004-01-07 16:00,2004-01-07 21:00,-6.19,-9.21,0.92,1024.24,0.89,,131,0.88,1,,,-13.69,2004-01-07 01:00,2004-01-07 16:00,-5.51,-15.19,2004-01-07 06:00,-5.51,2004-01-07 16:00
7,2004-01-08 01:00,Mostly cloudy throughout the day.,2004-01-08 08:00,0.54,,,,,snow,-3.42,2004-01-08 16:00,-7.71,-3.42,2004-01-09 08:00,-3.76,2004-01-08 14:00,2004-01-09 09:00,-13.68,-6.08,0.92,1021.82,1.29,,115,0.88,1,,,-6.44,2004-01-08 19:00,2004-01-08 16:00,-3.42,-10.99,2004-01-08 22:00,-3.76,2004-01-08 14:00
8,2004-01-09 01:00,Overcast throughout the day.,2004-01-09 08:00,0.57,,,,,snow,-6.71,2004-01-09 20:00,-6.71,-6.71,2004-01-09 20:00,-10.59,2004-01-09 20:00,2004-01-09 20:00,-10.59,-7.45,0.95,1015.78,3.28,,100,1.0,1,,,-7.71,2004-01-09 08:00,2004-01-09 01:00,-5.81,-14.08,2004-01-09 10:00,-9.53,2004-01-10 00:00
9,2004-01-10 01:00,Overcast throughout the day.,2004-01-10 08:00,0.6,,,,,snow,-1.76,2004-01-10 20:00,-4.93,-1.76,2004-01-11 03:00,-1.76,2004-01-10 20:00,2004-01-11 00:00,-6.41,-4.84,0.94,1012.84,1.16,,258,0.9,1,,,-5.87,2004-01-10 01:00,2004-01-10 20:00,-1.76,-9.3,2004-01-10 01:00,-1.76,2004-01-10 20:00
