,time,summary,sunriseTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureHigh.1,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLowTime,apparentTemperatureLow,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMaxTime,temperatureMax,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2011-01-01 01:00,Foggy throughout the day.,2011-01-01 08:00,0.91,0.0,0.0,,0.0,,-1.38,2011-01-01 15:00,-4.93,-1.38,2011-01-02 09:00,-1.38,2011-01-01 15:00,2011-01-01 23:00,-6.7,-4.21,0.91,1020.32,1.29,2.49,222,0.94,1,2.088,,-4.61,2011-01-01 01:00,2011-01-01 15:00,-1.38,-7.61,2011-01-01 01:00,-1.38,2011-01-01 15:00
1,2011-01-02 01:00,Foggy in the morning and afternoon.,2011-01-02 08:00,0.95,0.0,0.0,,0.0,,2.06,2011-01-02 14:00,-7.41,2.06,2011-01-03 07:00,0.73,2011-01-02 13:00,2011-01-03 04:00,-8.96,-3.56,0.88,1018.14,1.49,4.34,276,0.69,1,3.681,,-4.93,2011-01-02 09:00,2011-01-02 14:00,2.06,-6.09,2011-01-02 21:00,0.73,2011-01-02 13:00
2,2011-01-03 01:00,Foggy throughout the day.,2011-01-03 08:00,0.98,0.0,0.0,,0.0,,-2.14,2011-01-03 15:00,-5.49,-2.14,2011-01-04 01:00,-2.14,2011-01-03 15:00,2011-01-04 05:00,-7.98,-5.77,0.92,1022.54,0.77,2.62,346,0.76,1,1.978,,-7.41,2011-01-03 07:00,2011-01-03 15:00,-2.14,-8.96,2011-01-03 04:00,-2.14,2011-01-03 15:00
3,2011-01-04 01:00,Foggy until evening.,2011-01-04 08:00,0.01,0.0,0.0,,0.0,,-3.35,2011-01-04 18:00,-5.46,-3.35,2011-01-05 07:00,-3.4,2011-01-04 16:00,2011-01-05 05:00,-9.78,-4.89,0.96,1025.55,1.33,2.46,152,0.98,1,1.929,,-5.49,2011-01-04 01:00,2011-01-04 22:00,-3.34,-7.98,2011-01-04 05:00,-3.4,2011-01-04 16:00
4,2011-01-05 01:00,Foggy in the morning and overnight.,2011-01-05 08:00,0.05,0.0076,0.1518,2011-01-05 18:00,0.14,snow,-3.88,2011-01-05 13:00,-6.77,-3.88,2011-01-06 07:00,-4.52,2011-01-05 12:00,2011-01-06 06:00,-10.91,-6.99,0.83,1025.14,2.45,4.02,124,0.96,1,6.418,,-5.46,2011-01-05 07:00,2011-01-05 13:00,-3.88,-9.78,2011-01-05 05:00,-4.52,2011-01-05 12:00
5,2011-01-06 01:00,Foggy in the morning.,2011-01-06 08:00,0.08,0.0,0.0,,0.0,,-1.11,2011-01-06 20:00,-1.15,-1.11,2011-01-06 21:00,-4.3,2011-01-06 20:00,2011-01-06 21:00,-5.12,-5.59,0.85,1021.48,2.87,4.79,97,0.88,1,4.251,,-6.77,2011-01-06 07:00,2011-01-07 00:00,-0.23,-10.91,2011-01-06 06:00,-2.79,2011-01-07 00:00
6,2011-01-07 01:00,Mostly cloudy throughout the day.,2011-01-07 08:00,0.11,0.0,0.0,,0.0,,3.54,2011-01-07 15:00,1.31,3.54,2011-01-08 01:00,1.22,2011-01-07 11:00,2011-01-07 20:00,-1.6,-0.68,0.86,1020.39,2.19,4.34,77,0.75,1,5.773,,0.13,2011-01-07 02:00,2011-01-07 15:00,3.54,-2.95,2011-01-07 02:00,1.22,2011-01-07 11:00
7,2011-01-08 01:00,Foggy in the morning and overnight.,2011-01-08 08:00,0.14,0.0,0.0,,0.0,,4.36,2011-01-08 14:00,-1.15,4.36,2011-01-09 06:00,2.91,2011-01-08 18:00,2011-01-09 06:00,-3.14,0.92,0.9,1019.33,1.66,4.41,52,0.88,1,4.656,,1.31,2011-01-08 01:00,2011-01-08 14:00,4.36,-1.53,2011-01-08 01:00,2.91,2011-01-08 18:00
8,2011-01-09 01:00,Foggy throughout the day.,2011-01-09 08:00,0.17,0.0061,0.121,2011-01-09 03:00,0.14,snow,4.44,2011-01-09 15:00,-0.18,4.44,2011-01-10 07:00,2.43,2011-01-09 15:00,2011-01-10 05:00,-1.63,1.14,0.95,1019.5,1.76,3.25,73,0.59,1,2.238,,-1.15,2011-01-09 06:00,2011-01-09 15:00,4.44,-3.14,2011-01-09 06:00,2.87,2011-01-09 23:00
9,2011-01-10 01:00,Foggy throughout the day.,2011-01-10 08:00,0.2,0.0,0.0,,0.0,,3.51,2011-01-10 15:00,2.72,3.51,2011-01-11 00:00,3.48,2011-01-10 16:00,2011-01-11 01:00,1.69,1.92,1.0,1021.35,1.0,2.2,341,0.74,1,0.741,,-0.18,2011-01-10 07:00,2011-01-10 15:00,3.51,-1.63,2011-01-10 05:00,3.48,2011-01-10 16:00
10,2011-01-11 01:00,Light rain in the morning and overnight.,2011-01-11 08:00,0.23,0.0061,0.0971,2011-01-11 15:00,0.14,rain,5.74,2011-01-11 14:00,3.83,5.74,2011-01-12 08:00,4.24,2011-01-11 14:00,2011-01-12 09:00,1.77,3.83,0.96,1017.74,1.82,3.57,81,0.98,1,1.659,,3.15,2011-01-11 02:00,2011-01-11 14:00,5.74,1.69,2011-01-11 01:00,4.24,2011-01-11 14:00
11,2011-01-12 01:00,Light rain in the morning and afternoon.,2011-01-12 08:00,0.26,0.2352,1.4752,2011-01-12 05:00,1.0,rain,6.94,2011-01-12 16:00,1.42,6.94,2011-01-13 07:00,5.59,2011-01-12 16:00,2011-01-13 06:00,-0.94,2.92,0.92,1018.28,1.77,4.41,297,0.74,1,5.807,,1.87,2011-01-12 22:00,2011-01-12 16:00,6.94,-0.58,2011-01-12 22:00,5.59,2011-01-12 16:00
12,2011-01-13 01:00,Light rain in the morning and overnight.,2011-01-13 08:00,0.29,0.0378,0.5155,2011-01-13 12:00,1.0,rain,5.22,2011-01-13 16:00,3.77,5.22,2011-01-13 21:00,5.06,2011-01-13 17:00,2011-01-13 21:00,3.77,2.39,0.94,1016.34,1.45,5.36,210,0.87,1,4.64,,1.42,2011-01-13 07:00,2011-01-13 16:00,5.22,-0.94,2011-01-13 06:00,5.06,2011-01-13 17:00
13,2011-01-14 01:00,Foggy in the morning.,2011-01-14 08:00,0.32,0.0121,0.2425,2011-01-14 01:00,1.0,rain,11.45,2011-01-14 14:00,4.16,11.45,2011-01-15 05:00,11.45,2011-01-14 14:00,2011-01-15 05:00,2.73,6.86,0.94,1016.32,1.67,3.13,243,0.84,1,5.732,,4.25,2011-01-14 01:00,2011-01-14 14:00,11.45,4.25,2011-01-14 01:00,11.45,2011-01-14 14:00
14,2011-01-15 01:00,Drizzle in the afternoon.,2011-01-15 08:00,0.36,0.003,0.0731,2011-01-15 15:00,0.86,rain,10.86,2011-01-15 16:00,0.61,10.86,2011-01-16 07:00,10.86,2011-01-15 16:00,2011-01-16 09:00,-0.38,4.31,0.81,1020.42,3.72,11.62,296,0.47,1,8.503,,4.16,2011-01-15 05:00,2011-01-15 16:00,10.86,2.68,2011-01-16 00:00,10.86,2011-01-15 16:00
15,2011-01-16 01:00,Foggy overnight.,2011-01-16 08:00,0.39,0.0,0.0,,0.0,,9.76,2011-01-16 15:00,-1.4,9.76,2011-01-17 08:00,9.38,2011-01-16 14:00,2011-01-17 09:00,-3.47,1.65,0.83,1029.18,1.28,4.38,305,0.42,1,,,0.61,2011-01-16 07:00,2011-01-16 15:00,9.76,-0.38,2011-01-16 09:00,9.38,2011-01-16 14:00
16,2011-01-17 01:00,"Foggy until morning, starting again in the evening.",2011-01-17 08:00,0.43,0.0,0.0,,0.0,,7.45,2011-01-17 15:00,2.1,7.45,2011-01-17 22:00,6.52,2011-01-17 14:00,2011-01-17 21:00,0.06,0.85,0.92,1028.03,1.45,3.38,74,0.26,1,2.246,,-1.4,2011-01-17 08:00,2011-01-17 15:00,7.45,-3.47,2011-01-17 09:00,6.52,2011-01-17 14:00
17,2011-01-18 01:00,Foggy in the morning and overnight.,2011-01-18 08:00,0.46,0.001,0.0243,2011-01-18 01:00,0.14,rain,5.24,2011-01-18 15:00,1.93,5.24,2011-01-19 09:00,4.05,2011-01-18 15:00,2011-01-18 20:00,1.43,2.1,0.94,1026.24,1.41,2.88,333,0.82,1,3.918,,2.11,2011-01-18 06:00,2011-01-18 15:00,5.24,0.29,2011-01-18 02:00,4.05,2011-01-18 15:00
