,time,summary,sunriseTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureHigh.1,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLowTime,apparentTemperatureLow,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMaxTime,temperatureMax,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2000-01-01 01:00,Mostly cloudy throughout the day.,2000-01-01 08:00,0.85,,,,,snow,-3.92,2000-01-01 15:00,-7.66,-3.92,2000-01-01 21:00,-3.92,2000-01-01 15:00,2000-01-02 09:00,-9.13,-7.91,0.94,1026.98,0.67,,266,0.66,1,,,-9.92,2000-01-01 09:00,2000-01-01 15:00,-3.92,-11.16,2000-01-01 06:00,-3.92,2000-01-01 15:00
1,2000-01-02 01:00,Overcast throughout the day.,2000-01-02 08:00,0.88,,,,,snow,-3.19,2000-01-02 15:00,-4.01,-3.19,2000-01-02 21:00,-3.19,2000-01-02 15:00,2000-01-02 21:00,-4.01,-5.43,0.95,1030.03,0.61,,95,1.0,1,,,-6.71,2000-01-02 01:00,2000-01-02 15:00,-3.19,-9.13,2000-01-02 09:00,-3.19,2000-01-02 15:00
2,2000-01-03 01:00,Overcast throughout the day.,2000-01-03 08:00,0.91,,,,,snow,-0.14,2000-01-03 14:00,-1.87,-0.14,2000-01-04 08:00,-0.78,2000-01-03 13:00,2000-01-04 02:00,-4.66,-2.43,0.96,1029.57,1.19,,221,1.0,1,,,-3.77,2000-01-03 01:00,2000-01-03 14:00,-0.14,-4.47,2000-01-03 17:00,-0.78,2000-01-03 13:00
3,2000-01-04 01:00,Overcast throughout the day.,2000-01-04 08:00,0.94,,,,,snow,-0.18,2000-01-04 16:00,-2.3,-0.18,2000-01-05 02:00,-0.18,2000-01-04 16:00,2000-01-05 08:00,-4.94,-2.14,0.94,1025.45,1.02,,285,1.0,1,,,-2.14,2000-01-05 00:00,2000-01-04 16:00,-0.18,-4.66,2000-01-04 02:00,-0.18,2000-01-04 16:00
4,2000-01-05 01:00,Mostly cloudy throughout the day.,2000-01-05 08:00,0.97,,,,,,0.79,2000-01-05 16:00,-7.34,0.79,2000-01-06 08:00,-0.91,2000-01-05 16:00,2000-01-06 08:00,-7.34,-2.59,0.93,1023.93,1.93,,236,0.66,1,,,-2.87,2000-01-05 11:00,2000-01-05 16:00,0.79,-7.21,2000-01-05 11:00,-0.91,2000-01-05 16:00
5,2000-01-06 01:00,Partly cloudy throughout the day.,2000-01-06 08:00,0.0,,,,,,1.36,2000-01-06 13:00,-7.03,1.36,2000-01-06 21:00,-0.55,2000-01-06 13:00,2000-01-06 21:00,-10.27,-5.5,0.91,1027.12,1.09,,114,0.25,1,,,-7.34,2000-01-06 08:00,2000-01-06 13:00,1.36,-10.27,2000-01-06 21:00,-0.55,2000-01-06 13:00
6,2000-01-07 01:00,Overcast throughout the day.,2000-01-07 08:00,0.03,,,,,snow,-2.7,2000-01-07 20:00,-2.76,-2.7,2000-01-07 23:00,-2.7,2000-01-07 20:00,2000-01-07 23:00,-2.76,-3.82,0.96,1030.38,0.79,,148,1.0,0,,,-5.83,2000-01-07 01:00,2000-01-07 21:00,-2.3,-5.83,2000-01-07 01:00,-2.3,2000-01-07 21:00
7,2000-01-08 01:00,Overcast throughout the day.,2000-01-08 08:00,0.06,,,,,snow,-0.99,2000-01-08 15:00,-2.3,-0.99,2000-01-09 09:00,-0.99,2000-01-08 15:00,2000-01-08 20:00,-3.66,-2.25,0.97,1030.43,0.95,,116,0.99,1,,,-2.76,2000-01-08 01:00,2000-01-08 15:00,-0.99,-3.66,2000-01-08 20:00,-0.99,2000-01-08 15:00
8,2000-01-09 01:00,Overcast throughout the day.,2000-01-09 08:00,0.09,,,,,,-1.72,2000-01-09 14:00,-2.24,-1.72,2000-01-10 05:00,-1.72,2000-01-09 14:00,2000-01-10 05:00,-2.24,-2.44,0.97,1029.6,0.77,,153,0.99,1,,,-2.3,2000-01-09 09:00,2000-01-09 14:00,-1.72,-2.3,2000-01-09 09:00,-1.72,2000-01-09 14:00
9,2000-01-10 01:00,Overcast throughout the day.,2000-01-10 08:00,0.13,,,,,snow,0.72,2000-01-10 14:00,-1.09,0.72,2000-01-11 02:00,0.72,2000-01-10 14:00,2000-01-11 02:00,-1.09,-2.0,0.93,1033.28,0.71,,197,0.94,1,,,-2.24,2000-01-10 05:00,2000-01-10 14:00,0.72,-2.24,2000-01-10 05:00,0.72,2000-01-10 14:00
