,time,summary,sunriseTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureHigh.1,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLowTime,apparentTemperatureLow,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMaxTime,temperatureMax,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2003-01-01 01:00,Partly cloudy throughout the day.,2003-01-01 08:00,0.96,,,,,,1.09,2003-01-01 14:00,-5.14,1.09,2003-01-01 22:00,1.09,2003-01-01 14:00,2003-01-02 07:00,-9.97,-10.29,0.57,1017.29,2.21,,50,0.2,1,,,-5.94,2003-01-01 09:00,2003-01-01 14:00,1.09,-9.14,2003-01-02 00:00,1.09,2003-01-01 14:00
1,2003-01-02 01:00,Mostly cloudy throughout the day.,2003-01-02 08:00,1.0,,,,,,0.09,2003-01-02 20:00,0.09,0.09,2003-01-02 20:00,0.09,2003-01-02 20:00,2003-01-03 00:00,-3.52,-3.47,0.89,1007.1,2.9,,127,0.83,1,,,-5.07,2003-01-02 03:00,2003-01-03 00:00,0.76,-9.97,2003-01-02 07:00,0.2,2003-01-02 23:00
2,2003-01-03 01:00,Mostly cloudy throughout the day.,2003-01-03 08:00,0.04,,,,,rain,11.06,2003-01-03 15:00,0.66,11.06,2003-01-04 03:00,11.06,2003-01-03 15:00,2003-01-04 05:00,-2.11,1.86,0.78,999.2,2.91,,267,0.59,1,,,0.9,2003-01-03 02:00,2003-01-03 15:00,11.06,-1.0,2003-01-03 01:00,11.06,2003-01-03 15:00
3,2003-01-04 01:00,Mostly cloudy throughout the day.,2003-01-04 08:00,0.07,,,,,rain,8.39,2003-01-04 15:00,0.59,8.39,2003-01-05 09:00,6.65,2003-01-04 14:00,2003-01-05 09:00,-2.69,1.83,0.88,1001.75,1.79,,264,0.78,1,,,0.66,2003-01-04 03:00,2003-01-04 15:00,8.39,-2.11,2003-01-04 05:00,6.65,2003-01-04 14:00
4,2003-01-05 01:00,Overcast throughout the day.,2003-01-05 08:00,0.1,,,,,snow,0.68,2003-01-05 08:00,-6.45,0.68,2003-01-06 09:00,0.16,2003-01-05 11:00,2003-01-06 09:00,-13.39,-0.84,0.92,1004.2,2.51,,16,0.95,1,,,-1.72,2003-01-05 18:00,2003-01-05 01:00,2.72,-6.4,2003-01-05 18:00,2.72,2003-01-05 01:00
5,2003-01-06 01:00,Partly cloudy throughout the day.,2003-01-06 08:00,0.14,,,,,snow,-2.86,2003-01-06 15:00,-6.6,-2.86,2003-01-06 22:00,-5.34,2003-01-06 18:00,2003-01-07 08:00,-11.87,-8.93,0.74,1012.04,3.47,,304,0.54,1,,,-6.6,2003-01-06 22:00,2003-01-06 01:00,-2.46,-13.39,2003-01-06 09:00,-5.34,2003-01-06 18:00
6,2003-01-07 01:00,Overcast throughout the day.,2003-01-07 08:00,0.17,,,,,snow,-4.17,2003-01-07 16:00,-9.4,-4.17,2003-01-08 08:00,-9.3,2003-01-07 13:00,2003-01-08 08:00,-16.29,-6.18,0.92,1008.52,4.11,,0,0.97,1,,,-5.8,2003-01-07 06:00,2003-01-07 16:00,-4.17,-11.87,2003-01-07 08:00,-8.99,2003-01-07 01:00
7,2003-01-08 01:00,Overcast throughout the day.,2003-01-08 08:00,0.2,,,,,,-6.02,2003-01-08 14:00,-11.73,-6.02,2003-01-08 21:00,-9.48,2003-01-08 14:00,2003-01-09 07:00,-15.48,-11.05,0.84,1015.36,2.54,,283,0.84,1,,,-11.73,2003-01-08 21:00,2003-01-08 14:00,-6.02,-16.29,2003-01-08 08:00,-9.48,2003-01-08 14:00
8,2003-01-09 01:00,Overcast throughout the day.,2003-01-09 08:00,0.23,,,,,snow,-5.66,2003-01-09 15:00,-6.45,-5.66,2003-01-09 20:00,-9.61,2003-01-09 15:00,2003-01-09 20:00,-11.75,-9.62,0.87,1016.96,2.82,,17,1.0,1,,,-10.53,2003-01-09 01:00,2003-01-10 00:00,-5.33,-15.48,2003-01-09 07:00,-9.28,2003-01-09 23:00
9,2003-01-10 01:00,Overcast throughout the day.,2003-01-10 08:00,0.26,,,,,snow,-5.0,2003-01-10 14:00,-7.89,-5.0,2003-01-11 08:00,-6.18,2003-01-10 20:00,2003-01-10 22:00,-9.48,-7.42,0.87,1015.13,2.83,,310,0.99,1,,,-6.18,2003-01-10 20:00,2003-01-10 14:00,-5.0,-12.33,2003-01-10 12:00,-5.77,2003-01-11 00:00
10,2003-01-11 01:00,Overcast throughout the day.,2003-01-11 08:00,0.29,,,,,snow,-2.3,2003-01-11 14:00,-13.98,-2.3,2003-01-12 05:00,-2.98,2003-01-11 12:00,2003-01-12 04:00,-17.06,-7.43,0.87,1028.47,1.04,,92,0.93,1,,,-7.89,2003-01-11 08:00,2003-01-11 14:00,-2.3,-8.31,2003-01-11 20:00,-2.98,2003-01-11 12:00
11,2003-01-12 01:00,Mostly cloudy throughout the day.,2003-01-12 08:00,0.32,,,,,snow,-7.03,2003-01-12 15:00,-20.61,-7.03,2003-01-13 02:00,-7.03,2003-01-12 15:00,2003-01-13 02:00,-20.61,-13.9,0.87,1032.42,1.11,,289,0.3,1,,,-17.77,2003-01-12 22:00,2003-01-12 15:00,-7.03,-17.77,2003-01-12 22:00,-7.03,2003-01-12 15:00
12,2003-01-13 01:00,Clear throughout the day.,2003-01-13 08:00,0.35,,,,,snow,-4.93,2003-01-13 15:00,-5.04,-4.93,2003-01-13 20:00,-4.93,2003-01-13 15:00,2003-01-14 01:00,-10.82,-13.63,0.72,1030.37,1.28,,198,,0,,,-20.61,2003-01-13 02:00,2003-01-13 21:00,-3.94,-20.61,2003-01-13 02:00,-4.93,2003-01-13 15:00
13,2003-01-14 01:00,Overcast throughout the day.,2003-01-14 08:00,0.38,,,,,snow,-2.62,2003-01-14 13:00,-4.18,-2.62,2003-01-14 22:00,-4.57,2003-01-14 13:00,2003-01-14 20:00,-6.33,-5.34,0.91,1029.46,1.88,,182,0.98,1,,,-4.93,2003-01-14 17:00,2003-01-15 00:00,-2.49,-10.82,2003-01-14 01:00,-3.27,2003-01-14 23:00
14,2003-01-15 01:00,Mostly cloudy throughout the day.,2003-01-15 08:00,0.41,,,,,rain,7.16,2003-01-15 14:00,-7.45,7.16,2003-01-16 08:00,4.4,2003-01-15 12:00,2003-01-16 09:00,-10.58,0.23,0.8,1028.89,3.14,,287,0.46,1,,,-3.82,2003-01-16 00:00,2003-01-15 14:00,7.16,-3.82,2003-01-16 00:00,4.4,2003-01-15 12:00
15,2003-01-16 01:00,Partly cloudy throughout the day.,2003-01-16 08:00,0.45,,,,,snow,4.34,2003-01-16 16:00,1.73,4.34,2003-01-17 09:00,1.59,2003-01-16 15:00,2003-01-17 08:00,-1.92,-3.23,0.88,1027.04,2.0,,296,0.36,1,,,-7.45,2003-01-16 08:00,2003-01-16 16:00,4.34,-10.58,2003-01-16 09:00,1.59,2003-01-16 15:00
16,2003-01-17 01:00,Partly cloudy throughout the day.,2003-01-17 08:00,0.48,,,,,rain,4.59,2003-01-17 15:00,-6.2,4.59,2003-01-18 00:00,4.29,2003-01-17 13:00,2003-01-18 00:00,-10.56,-2.38,0.8,1031.05,2.43,,336,0.32,1,,,-6.2,2003-01-18 00:00,2003-01-17 15:00,4.59,-10.56,2003-01-18 00:00,4.29,2003-01-17 13:00
17,2003-01-18 01:00,Overcast throughout the day.,2003-01-18 08:00,0.51,,,,,snow,-2.97,2003-01-18 16:00,-6.27,-2.97,2003-01-19 09:00,-2.97,2003-01-18 16:00,2003-01-19 09:00,-6.27,-4.97,0.97,1026.37,1.16,,73,1.0,1,,,-6.1,2003-01-18 01:00,2003-01-18 16:00,-2.97,-9.57,2003-01-18 01:00,-2.97,2003-01-18 16:00
