,time,summary,sunriseTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureHigh.1,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLowTime,apparentTemperatureLow,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMaxTime,temperatureMax,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2009-01-01 01:00,Foggy in the morning and afternoon.,2009-01-01 08:00,0.16,0.0,0.0,,0.0,,-4.78,2009-01-01 20:00,-6.42,-4.78,2009-01-02 08:00,-6.53,2009-01-01 13:00,2009-01-01 20:00,-9.78,-8.57,0.84,1027.51,2.19,4.47,237,0.98,1,4.459,,-7.77,2009-01-01 07:00,2009-01-02 00:00,-4.54,-13.21,2009-01-01 03:00,-4.54,2009-01-02 00:00
1,2009-01-02 01:00,Foggy overnight.,2009-01-02 08:00,0.2,0.0,0.0,,0.0,,-1.83,2009-01-02 15:00,-7.9,-1.83,2009-01-03 08:00,-3.52,2009-01-02 18:00,2009-01-03 08:00,-11.26,-7.92,0.77,1025.86,1.34,3.57,282,0.69,1,5.995,,-6.42,2009-01-02 08:00,2009-01-02 15:00,-1.83,-9.12,2009-01-02 03:00,-3.52,2009-01-02 18:00
2,2009-01-03 01:00,"Foggy until morning, starting again in the evening.",2009-01-03 08:00,0.23,0.0,0.0,,0.0,,-0.68,2009-01-03 14:00,-7.82,-0.68,2009-01-03 22:00,-0.86,2009-01-03 13:00,2009-01-04 09:00,-10.93,-9.28,0.75,1027.47,1.61,2.71,320,0.35,1,6.459,,-7.9,2009-01-03 08:00,2009-01-03 14:00,-0.68,-11.26,2009-01-03 08:00,-0.86,2009-01-03 13:00
3,2009-01-04 01:00,Foggy in the morning.,2009-01-04 08:00,0.26,0.0,0.0,,0.0,,-2.46,2009-01-04 20:00,-4.8,-2.46,2009-01-05 09:00,-4.74,2009-01-04 20:00,2009-01-05 08:00,-8.54,-8.05,0.8,1020.86,1.88,3.57,226,0.96,1,4.174,,-7.61,2009-01-04 09:00,2009-01-04 23:00,-2.44,-11.51,2009-01-04 11:00,-4.74,2009-01-04 20:00
4,2009-01-05 01:00,Mostly cloudy throughout the day.,2009-01-05 08:00,0.3,0.0,0.0,,0.0,,-1.89,2009-01-05 16:00,-4.52,-1.89,2009-01-06 07:00,-2.94,2009-01-05 19:00,2009-01-06 05:00,-7.9,-7.73,0.72,1018.53,1.9,3.57,170,0.83,1,6.332,,-4.8,2009-01-05 09:00,2009-01-05 16:00,-1.89,-8.54,2009-01-05 08:00,-2.94,2009-01-05 04:00
5,2009-01-06 01:00,Overcast throughout the day.,2009-01-06 08:00,0.33,0.0,0.0,,0.0,,-2.72,2009-01-06 16:00,-7.5,-2.72,2009-01-07 04:00,-2.72,2009-01-06 16:00,2009-01-07 01:00,-9.61,-8.26,0.72,1023.74,1.76,3.57,75,0.86,1,6.774,,-5.51,2009-01-07 00:00,2009-01-06 16:00,-2.72,-8.24,2009-01-06 23:00,-2.72,2009-01-06 16:00
6,2009-01-07 01:00,Overcast throughout the day.,2009-01-07 08:00,0.37,0.0,0.0,,0.0,,-4.78,2009-01-07 14:00,-7.5,-4.78,2009-01-08 08:00,-4.78,2009-01-07 14:00,2009-01-08 08:00,-13.61,-9.26,0.74,1022.04,2.12,5.37,246,0.95,1,6.67,,-7.5,2009-01-07 04:00,2009-01-08 00:00,-4.03,-9.62,2009-01-07 20:00,-4.78,2009-01-07 14:00
7,2009-01-08 01:00,Clear throughout the day.,2009-01-08 08:00,0.41,0.0,0.0,,0.0,,0.25,2009-01-08 15:00,-13.28,0.25,2009-01-09 07:00,-0.01,2009-01-08 16:00,2009-01-09 07:00,-17.75,-11.05,0.65,1030.21,2.19,5.81,322,0.13,1,9.002,,-11.35,2009-01-08 23:00,2009-01-08 15:00,0.25,-13.61,2009-01-08 08:00,-0.01,2009-01-08 16:00
8,2009-01-09 01:00,Foggy in the morning and overnight.,2009-01-09 08:00,0.45,0.0,0.0,,0.0,,-1.32,2009-01-09 15:00,-13.65,-1.32,2009-01-10 04:00,-1.32,2009-01-09 15:00,2009-01-10 04:00,-13.65,-12.73,0.72,1035.83,1.28,2.68,113,0.03,1,5.709,,-13.28,2009-01-09 07:00,2009-01-09 15:00,-1.32,-17.75,2009-01-09 07:00,-1.32,2009-01-09 15:00
9,2009-01-10 01:00,Foggy throughout the day.,2009-01-10 08:00,0.49,0.0,0.0,,0.0,,-4.1,2009-01-10 16:00,-12.4,-4.1,2009-01-11 01:00,-4.1,2009-01-10 16:00,2009-01-11 01:00,-12.4,-12.61,0.8,1035.32,0.54,2.68,190,0.42,1,1.388,,-13.65,2009-01-10 04:00,2009-01-10 16:00,-4.1,-13.65,2009-01-10 04:00,-4.1,2009-01-10 16:00
10,2009-01-11 01:00,Foggy throughout the day.,2009-01-11 08:00,0.53,0.0,0.0,,0.0,,-4.71,2009-01-11 19:00,-5.38,-4.71,2009-01-12 09:00,-4.71,2009-01-11 19:00,2009-01-12 09:00,-8.79,-9.55,0.85,1039.85,0.63,1.59,213,0.76,1,1.903,,-12.4,2009-01-11 01:00,2009-01-12 00:00,-4.7,-12.4,2009-01-11 01:00,-4.7,2009-01-12 00:00
11,2009-01-12 01:00,Overcast throughout the day.,2009-01-12 08:00,0.57,0.0,0.0,,0.0,,-4.46,2009-01-12 14:00,-6.57,-4.46,2009-01-13 09:00,-7.69,2009-01-12 14:00,2009-01-13 06:00,-10.65,-8.38,0.77,1038.9,2.14,3.57,137,1.0,1,4.472,,-5.38,2009-01-12 09:00,2009-01-12 14:00,-4.46,-9.39,2009-01-13 00:00,-4.76,2009-01-12 01:00
12,2009-01-13 01:00,"Foggy until afternoon, starting again overnight.",2009-01-13 08:00,0.6,0.0,0.0,,0.0,,-6.22,2009-01-13 16:00,-6.88,-6.22,2009-01-13 22:00,-6.22,2009-01-13 16:00,2009-01-13 21:00,-10.44,-8.57,0.85,1029.62,1.96,3.14,112,1.0,1,3.535,,-6.88,2009-01-13 22:00,2009-01-13 01:00,-5.47,-10.75,2009-01-13 10:00,-6.22,2009-01-13 16:00
13,2009-01-14 01:00,Foggy throughout the day.,2009-01-14 08:00,0.64,0.0,0.0,,0.0,,-0.16,2009-01-14 17:00,-0.83,-0.16,2009-01-14 20:00,-2.19,2009-01-14 12:00,2009-01-14 21:00,-3.05,-5.06,0.84,1018.54,1.68,2.68,5,0.89,1,3.089,,-6.84,2009-01-14 01:00,2009-01-15 00:00,0.58,-10.43,2009-01-14 01:00,-1.57,2009-01-14 22:00
