,time,summary,sunriseTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureHigh.1,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLowTime,apparentTemperatureLow,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMaxTime,temperatureMax,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2016-01-01 01:00,"Foggy until afternoon, starting again overnight.",2016-01-01 08:00,0.74,0.0,0.0,,0.0,,-2.4,2016-01-01 15:00,-6.21,-2.4,2016-01-02 03:00,-2.62,2016-01-01 16:00,2016-01-02 09:00,-9.0,-7.88,0.83,1029.39,0.48,1.5,219,0.67,1,6.047,,-9.01,2016-01-01 07:00,2016-01-01 15:00,-2.4,-9.01,2016-01-01 07:00,-2.62,2016-01-01 16:00
1,2016-01-02 01:00,Foggy in the morning and afternoon.,2016-01-02 08:00,0.77,0.0,0.0,,0.0,,-4.36,2016-01-02 16:00,-7.69,-4.36,2016-01-03 09:00,-4.38,2016-01-02 14:00,2016-01-03 09:00,-13.0,-7.85,0.82,1026.34,1.64,3.86,90,0.75,1,4.968,,-6.21,2016-01-02 03:00,2016-01-02 16:00,-4.36,-9.69,2016-01-02 20:00,-4.38,2016-01-02 14:00
2,2016-01-03 01:00,Mostly cloudy throughout the day.,2016-01-03 08:00,0.8,0.0,0.0,,0.0,,-3.9,2016-01-03 15:00,-11.25,-3.9,2016-01-04 03:00,-4.93,2016-01-03 17:00,2016-01-04 08:00,-12.65,-12.63,0.63,1020.32,1.8,4.47,69,0.71,1,10.003,,-10.11,2016-01-03 23:00,2016-01-03 15:00,-3.9,-13.0,2016-01-03 09:00,-4.93,2016-01-03 17:00
3,2016-01-04 01:00,Possible flurries in the afternoon and evening.,2016-01-04 08:00,0.83,0.0188,0.1546,2016-01-04 17:00,0.52,snow,-7.44,2016-01-04 20:00,-7.44,-7.44,2016-01-04 20:00,-7.44,2016-01-04 20:00,2016-01-04 20:00,-7.44,-11.5,0.79,1007.43,1.23,3.57,126,0.77,1,7.336,,-11.25,2016-01-04 03:00,2016-01-04 23:00,-7.12,-12.65,2016-01-04 08:00,-7.12,2016-01-04 23:00
4,2016-01-05 01:00,Possible flurries in the evening and overnight.,2016-01-05 08:00,0.86,0.0076,0.1251,2016-01-05 23:00,0.45,snow,-4.5,2016-01-05 15:00,-4.58,-4.5,2016-01-05 20:00,-4.5,2016-01-05 15:00,2016-01-06 02:00,-6.36,-7.36,0.87,1005.06,0.88,3.57,143,0.96,1,3.951,,-7.1,2016-01-05 01:00,2016-01-06 00:00,-3.85,-9.17,2016-01-05 13:00,-4.17,2016-01-05 23:00
5,2016-01-06 01:00,Possible flurries in the evening.,2016-01-06 08:00,0.89,0.0039,0.0665,2016-01-06 18:00,0.39,snow,-0.35,2016-01-06 20:00,-0.43,-0.35,2016-01-06 21:00,-2.02,2016-01-06 20:00,2016-01-07 08:00,-2.83,-3.69,0.88,1005.17,1.37,2.26,33,0.97,1,3.542,,-4.17,2016-01-06 01:00,2016-01-07 00:00,-0.12,-6.36,2016-01-06 02:00,-0.38,2016-01-06 22:00
6,2016-01-07 01:00,Possible drizzle in the afternoon.,2016-01-07 08:00,0.92,0.0013,0.0322,2016-01-07 15:00,0.41,rain,2.97,2016-01-07 16:00,-5.7,2.97,2016-01-08 03:00,0.9,2016-01-07 15:00,2016-01-08 03:00,-5.7,-2.11,0.86,1001.52,1.66,3.14,308,0.52,1,6.68,,-4.91,2016-01-08 00:00,2016-01-07 16:00,2.97,-4.91,2016-01-08 00:00,0.9,2016-01-07 15:00
7,2016-01-08 01:00,Foggy throughout the day.,2016-01-08 08:00,0.96,0.0,0.0,,0.0,,1.63,2016-01-08 16:00,-1.76,1.63,2016-01-08 23:00,0.55,2016-01-08 14:00,2016-01-09 05:00,-2.31,-4.08,0.9,1009.91,0.59,2.23,167,0.78,1,0.853,,-5.7,2016-01-08 03:00,2016-01-08 16:00,1.63,-5.7,2016-01-08 03:00,0.55,2016-01-08 14:00
8,2016-01-09 01:00,Light rain throughout the day.,2016-01-09 08:00,0.99,0.227,1.1946,2016-01-09 23:00,1.0,rain,1.33,2016-01-09 16:00,1.2,1.33,2016-01-09 20:00,1.1,2016-01-09 19:00,2016-01-10 08:00,-0.26,-0.44,0.94,1009.86,1.09,1.79,78,0.92,1,2.738,,-1.74,2016-01-09 01:00,2016-01-09 23:00,1.47,-2.31,2016-01-09 05:00,1.47,2016-01-09 23:00
9,2016-01-10 01:00,Light rain in the morning.,2016-01-10 08:00,0.03,0.5543,1.8364,2016-01-10 06:00,1.0,rain,2.94,2016-01-10 15:00,0.7,2.94,2016-01-10 23:00,2.73,2016-01-10 14:00,2016-01-11 06:00,-0.41,0.92,0.95,1004.53,0.93,3.14,334,0.98,1,3.98,,0.7,2016-01-10 23:00,2016-01-10 15:00,2.94,-0.26,2016-01-10 08:00,2.73,2016-01-10 14:00
