,time,summary,sunriseTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureHigh.1,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLowTime,apparentTemperatureLow,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMaxTime,temperatureMax,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2012-01-01 01:00,Foggy in the morning.,2012-01-01 08:00,0.27,,,,,rain,1.15,2012-01-01 20:00,0.43,1.15,2012-01-02 08:00,0.72,2012-01-01 19:00,2012-01-02 09:00,-2.16,-2.05,0.91,1021.67,1.66,2.68,102,0.75,1,4.454,,-4.03,2012-01-01 05:00,2012-01-02 00:00,1.92,-7.54,2012-01-01 06:00,1.92,2012-01-02 00:00
1,2012-01-02 01:00,Mostly cloudy throughout the day.,2012-01-02 08:00,0.3,,,,,rain,7.76,2012-01-02 15:00,0.91,7.76,2012-01-03 02:00,6.17,2012-01-02 16:00,2012-01-03 04:00,0.29,0.9,0.84,1018.88,2.01,5.37,96,0.64,1,6.999,,0.43,2012-01-02 08:00,2012-01-02 15:00,7.76,-2.16,2012-01-02 09:00,6.17,2012-01-02 16:00
2,2012-01-03 01:00,"Foggy until morning, starting again in the evening.",2012-01-03 08:00,0.33,,,,,rain,8.71,2012-01-03 14:00,1.96,8.71,2012-01-04 02:00,7.24,2012-01-03 17:00,2012-01-04 02:00,-0.62,2.52,0.87,1023.26,1.79,4.02,298,0.61,1,6.475,,0.91,2012-01-03 02:00,2012-01-03 14:00,8.71,0.29,2012-01-03 04:00,7.24,2012-01-03 17:00
3,2012-01-04 01:00,Foggy in the morning and afternoon.,2012-01-04 08:00,0.36,,,,,rain,7.27,2012-01-04 13:00,1.66,7.27,2012-01-05 08:00,5.99,2012-01-04 13:00,2012-01-05 08:00,-0.8,2.42,0.89,1017.48,2.35,5.81,213,0.73,1,4.831,,1.96,2012-01-04 02:00,2012-01-04 13:00,7.27,-0.62,2012-01-04 02:00,5.99,2012-01-04 13:00
4,2012-01-05 01:00,Mostly cloudy throughout the day.,2012-01-05 08:00,0.39,,,,,rain,5.2,2012-01-05 14:00,3.55,5.2,2012-01-06 04:00,1.65,2012-01-05 20:00,2012-01-06 09:00,-0.9,-0.31,0.75,1004.15,3.87,8.49,218,0.76,1,9.998,,1.66,2012-01-05 08:00,2012-01-05 23:00,5.74,-1.04,2012-01-05 10:00,2.58,2012-01-05 21:00
5,2012-01-06 01:00,Partly cloudy throughout the day.,2012-01-06 08:00,0.42,,,,,rain,6.27,2012-01-06 15:00,0.77,6.27,2012-01-07 09:00,1.75,2012-01-06 14:00,2012-01-07 08:00,-4.43,-0.78,0.69,1000.14,6.53,17.12,309,0.41,1,9.995,,2.83,2012-01-07 00:00,2012-01-06 15:00,6.27,-2.45,2012-01-07 00:00,2.18,2012-01-06 01:00
6,2012-01-07 01:00,Foggy in the morning and overnight.,2012-01-07 08:00,0.45,,,,,rain,5.94,2012-01-07 15:00,1.17,5.94,2012-01-08 01:00,2.98,2012-01-07 15:00,2012-01-08 01:00,-2.33,-2.68,0.68,1015.84,4.0,8.82,313,0.49,1,9.394,,0.77,2012-01-07 09:00,2012-01-07 15:00,5.94,-4.43,2012-01-07 08:00,2.98,2012-01-07 15:00
7,2012-01-08 01:00,Foggy in the morning.,2012-01-08 08:00,0.48,,,,,rain,6.6,2012-01-08 15:00,1.38,6.6,2012-01-09 03:00,2.81,2012-01-08 15:00,2012-01-09 05:00,-1.32,1.37,0.84,1013.42,3.8,6.7,305,0.67,1,7.906,,1.17,2012-01-08 01:00,2012-01-08 15:00,6.6,-2.33,2012-01-08 01:00,2.81,2012-01-08 15:00
8,2012-01-09 01:00,Mostly cloudy throughout the day.,2012-01-09 08:00,0.52,,,,,rain,6.51,2012-01-09 15:00,0.06,6.51,2012-01-10 03:00,3.38,2012-01-09 15:00,2012-01-10 00:00,-1.65,0.57,0.82,1021.09,3.6,5.83,315,0.4,1,9.08,,1.36,2012-01-10 00:00,2012-01-09 15:00,6.51,-1.65,2012-01-10 00:00,3.38,2012-01-09 15:00
9,2012-01-10 01:00,Foggy in the morning and afternoon.,2012-01-10 08:00,0.55,,,,,rain,3.99,2012-01-10 17:00,0.64,3.99,2012-01-11 08:00,2.94,2012-01-10 19:00,2012-01-11 06:00,-1.84,0.65,0.9,1025.42,1.86,4.58,297,0.74,1,5.622,,0.06,2012-01-10 03:00,2012-01-10 21:00,4.7,-1.6,2012-01-10 06:00,2.94,2012-01-10 19:00
